"A","Bilanca odhodkov","",""
"1711","Ministrstvo za notranje zadeve","23568956 23693923 21485265 91,2 90,7",""
"03","ZUNANJA POLITIKA IN MEDNARODNA POMOČ","198364 328001 269564 135,9 82,2",""
"0304","Predsedovanje EU","198364 328001 269564 135,9 82,2",""
"03041701","Predsedovanje EU","198364 328001 269564 135,9 82,2",""
"5470","Priprava na predsedovanje EU","198364 198364 198363 100,0 100,0",""
"400","Plače in drugi izdatki zaposlenim","105431 108353 108352 102,8 100,0",""
"401","Prispevki delodajalcev za socialno varnost","16478 17420 17420 105,7 100,0",""
"402","Izdatki za blago in storitve","76455 72591 72591 95,0 100,0",""
"9317","Predsedovanje EU - donacija","0 129637 71201 - 54,9",""
"402","Izdatki za blago in storitve","0 129637 71201 - 54,9",""
"08","NOTRANJE ZADEVE IN VARNOST","23370592 23365923 21215701 90,8 90,8",""
"0801","Notranje zadeve","23370592 23365923 21215701 90,8 90,8",""
"08011701","Urejanje notranjih zadev","20120344 19724444 18649241 92,7 94,6",""
"3107","Plače","11000000 11210384 11174400 101,6 99,7",""
"400","Plače in drugi izdatki zaposlenim","9344200 9497154 9466040 101,3 99,7",""
"401","Prispevki delodajalcev za socialno varnost","1455800 1511230 1507091 103,5 99,7",""
"402","Izdatki za blago in storitve","200000 202000 201269 100,6 99,6",""
"3431","Materialni stroški","3477589 3651878 3508632 100,9 96,1",""
"402","Izdatki za blago in storitve","3477589 3651878 3508632 100,9 96,1",""
"7429","Investicije in investicijsko vzdrževanje državnih organov","2349670 1829670 1787935 76,1 97,7",""
"420","Nakup in gradnja osnovnih sredstev","2349670 1829670 1787935 76,1 97,7",""
"402","Izdatki za blago in storitve","1313720 1245930 1076125 81,9 86,4",""
"411","Transferi posameznikom in gospodinjstvom","113880 41639 28066 24,7 67,4",""
"412","Transferi neprofitnim organizacijam in ustanovam","39000 43000 41996 107,7 97,7",""
"420","Nakup in gradnja osnovnih sredstev","53400 84431 73420 137,5 87,0",""
"9167","Evropski begunski sklad II - letni program 2006 - lastna udeležba","40000 28211 17807 44,5 63,1",""
"402","Izdatki za blago in storitve","40000 28211 17807 44,5 63,1",""
"6789","Evropski begunski sklad II - letni program 2007 - lastna udeležba","297853 309642 237960 79,9 76,9",""
"402","Izdatki za blago in storitve","147195 169960 99748 67,8 58,7",""
"420","Nakup in gradnja osnovnih sredstev","150658 139682 138212 91,7 99,0",""
"402","Izdatki za blago in storitve","0 34580 0 - 0,0",""
"7955","Evropski begunski sklad - tuja donacija","0 24150 0 - 0,0",""
"402","Izdatki za blago in storitve","0 24150 0 - 0,0",""
"9162","Evropski begunski sklad II - letni program 2005 - tuja donacija","0 11859 0 - 0,0",""
"402","Izdatki za blago in storitve","0 11859 0 - 0,0",""
"9161","Evropski begunski sklad II - letni program 2006 - tuja donacija","80000 54479 12640 15,8 23,2",""
"402","Izdatki za blago in storitve","80000 54479 12640 15,8 23,2",""
"6786","Evropski begunski sklad II - letni program 2007 - tuja donacija","589225 619617 494785 84,0 79,9",""
"402","Izdatki za blago in storitve","372684 376107 256688 68,9 68,3",""
"420","Nakup in gradnja osnovnih sredstev","216541 243510 238097 110,0 97,8",""
"402","Izdatki za blago in storitve","9000 5966 4275 47,5 71,7",""
"402","Izdatki za blago in storitve","45000 87000 66866 148,6 76,9",""
"411","Transferi posameznikom in gospodinjstvom","0 20000 10211 - 51,1",""
"9259","Sklad za vključevanje 2007 - 07-13 - EU","420000 358000 66903 15,9 18,7",""
"402","Izdatki za blago in storitve","420000 358000 66903 15,9 18,7",""
"9275","Evropski begunski sklad 2008 - 07-13 - slovenska udeležba","15000 36500 25234 168,2 69,1",""
"402","Izdatki za blago in storitve","15000 29000 21830 145,5 75,3",""
"411","Transferi posameznikom in gospodinjstvom","0 7500 3404 - 45,4",""
"9273","Sklad za vključevanje 2007 - 07-13 - slovenska udeležba","215007 27507 21985 10,2 79,9",""
"402","Izdatki za blago in storitve","215007 27507 21985 10,2 79,9",""
"9276","Skladi - DDV - 07-13 - slovenska udeležba","62000 0 0 0,0 -",""
"402","Izdatki za blago in storitve","62000 0 0 0,0 -",""
"08011703","Upravljanje z državnim premoženjem","3250248 3641478 2566460 79,0 70,5",""
"8386","Stvarno premoženje - sredstva od prodaje državnega premoženja","3227248 3445258 2521834 78,1 73,2",""
"402","Izdatki za blago in storitve","0 109700 1339 - 1,2",""
"420","Nakup in gradnja osnovnih sredstev","3227248 3335558 2520495 78,1 75,6",""
"8404","Stvarno premoženje - sredstva odškodnine","23000 196220 44626 194,0 22,7",""
"402","Izdatki za blago in storitve","13000 125748 41149 316,5 32,7",""
"420","Nakup in gradnja osnovnih sredstev","10000 70472 3478 34,8 4,9",""
"1714","Policija","299778134 312214199 307544182 102,6 98,5",""
"03","ZUNANJA POLITIKA IN MEDNARODNA POMOČ","545050 578050 577788 106,0 100,0",""
"0304","Predsedovanje EU","545050 578050 577788 106,0 100,0",""
"03041701","Predsedovanje EU","545050 578050 577788 106,0 100,0",""
"400","Plače in drugi izdatki zaposlenim","165408 144868 144814 87,6 100,0",""
"401","Prispevki delodajalcev za socialno varnost","15409 33844 33837 219,6 100,0",""
"402","Izdatki za blago in storitve","364233 366338 366137 100,5 100,0",""
"402","Izdatki za blago in storitve","0 33000 33000 - 100,0",""
"08","NOTRANJE ZADEVE IN VARNOST","299233084 311636149 306966394 102,6 98,5",""
"0801","Notranje zadeve","",""
"08011703","Upravljanje z državnim premoženjem","1744053 2952379 1140201 65,4 38,6",""
"8683","Prevozna sredstva - sredstva odškodnine","290000 482039 247177 85,2 51,3",""
"402","Izdatki za blago in storitve","290000 482039 247177 85,2 51,3",""
"7805","Stroški službenih stanovanj in samskih sob - sredstva najemnine","1454053 2470340 893024 61,4 36,2",""
"402","Izdatki za blago in storitve","438362 979097 245942 56,1 25,1",""
"420","Nakup in gradnja osnovnih sredstev","1015691 1491243 647083 63,7 43,4",""
"0802","Policijska in kriminalistična dejavnost","240627258 253689836 252440814 104,9 99,5",""
"08021701","Prometna varnost","1142406 995548 984637 86,2 98,9",""
"1226","Posebna sredstva za nadzor prometa","1142406 995046 984637 86,2 99,0",""
"402","Izdatki za blago in storitve","1122516 975156 964747 86,0 98,9",""
"420","Nakup in gradnja osnovnih sredstev","19890 19890 19890 100,0 100,0",""
"7394","Nakup motornega kolesa - donacija","0 124 0 - 0,0",""
"420","Nakup in gradnja osnovnih sredstev","0 124 0 - 0,0",""
"7978","Sofinanciranje nakupa terenskega vozila - donacija","0 378 0 - 0,0",""
"402","Izdatki za blago in storitve","0 378 0 - 0,0",""
"08021702","Notranja varnost","237465375 250287448 249148131 104,9 99,5",""
"5569","Plače","187988925 196940178 196618827 104,6 99,8",""
"400","Plače in drugi izdatki zaposlenim","152133617 160394115 160170261 105,3 99,9",""
"401","Prispevki delodajalcev za socialno varnost","32253482 34161237 34150791 105,9 100,0",""
"402","Izdatki za blago in storitve","3601826 2384826 2297774 63,8 96,4",""
"5572","Materialni stroški","34595504 38800076 38595398 111,6 99,5",""
"402","Izdatki za blago in storitve","34595504 38800076 38595398 111,6 99,5",""
"1228","Investicije in investicijsko vzdrževanje policije","6888535 5538920 5538920 80,4 100,0",""
"420","Nakup in gradnja osnovnih sredstev","6888535 5483268 5483267 79,6 100,0",""
"432","Investicijski transferi proračunskim uporabnikom","0 55653 55653 - 100,0",""
"5579","Osebna oprema","3006887 3112771 3112768 103,5 100,0",""
"402","Izdatki za blago in storitve","3006887 3112771 3112768 103,5 100,0",""
"1056","Oskrba,  prehrana in prevozi tujcev","673500 367591 366147 54,4 99,6",""
"402","Izdatki za blago in storitve","673500 367591 366147 54,4 99,6",""
"5578","Sredstva za varstvo pri delu","202000 158092 158092 78,3 100,0",""
"402","Izdatki za blago in storitve","202000 158092 158092 78,3 100,0",""
"5573","Strelivo, plinska sredstva","221500 54608 54608 24,7 100,0",""
"402","Izdatki za blago in storitve","221500 54608 54608 24,7 100,0",""
"5577","Stroški službenih stanovanj in samskih domov","221900 205000 204698 92,3 99,9",""
"402","Izdatki za blago in storitve","221900 205000 204698 92,3 99,9",""
"6093","Varovanje določenih oseb, objektov in okolišev objektov","626127 991740 977709 156,2 98,6",""
"402","Izdatki za blago in storitve","515200 880322 866291 168,2 98,4",""
"420","Nakup in gradnja osnovnih sredstev","110927 111418 111418 100,4 100,0",""
"5580","Zaščitna sredstva","1000000 869093 869093 86,9 100,0",""
"402","Izdatki za blago in storitve","1000000 869093 869093 86,9 100,0",""
"7856","Konferenca FBI NAA - tuja donacija","0 9536 6518 - 68,4",""
"402","Izdatki za blago in storitve","0 2059 1315 - 63,9",""
"420","Nakup in gradnja osnovnih sredstev","0 7477 5202 - 69,6",""
"8969","Manjše donacije","0 1134 400 - 35,3",""
"420","Nakup in gradnja osnovnih sredstev","0 1134 400 - 35,3",""
"137","Počitniška dejavnost","622519 899397 584813 93,9 65,0",""
"402","Izdatki za blago in storitve","402705 553648 435590 108,2 78,7",""
"420","Nakup in gradnja osnovnih sredstev","219814 345748 149223 67,9 43,2",""
"139","Prehrana - gostinske storitve","1207158 1533675 1328697 110,1 86,6",""
"402","Izdatki za blago in storitve","1148320 1495510 1290558 112,4 86,3",""
"420","Nakup in gradnja osnovnih sredstev","58838 38165 38139 64,8 99,9",""
"402","Izdatki za blago in storitve","185281 798449 724320 390,9 90,7",""
"420","Nakup in gradnja osnovnih sredstev","0 4438 4408 - 99,3",""
"1233","Zdravstvena preventiva","25539 2751 2715 10,6 98,7",""
"402","Izdatki za blago in storitve","25539 1293 1257 4,9 97,2",""
"420","Nakup in gradnja osnovnih sredstev","0 1458 1458 - 100,0",""
"08021703","Kriminalistična dejavnost","2019477 2406839 2308046 114,3 95,9",""
"1236","Posebna sredstva za izvajanje kriminalistične dejavnosti","2019477 2383399 2297546 113,8 96,4",""
"402","Izdatki za blago in storitve","1493600 1877477 1791625 120,0 95,4",""
"420","Nakup in gradnja osnovnih sredstev","525877 505921 505921 96,2 100,0",""
"7456","Posebni operativni nameni - tuja donacija","0 10500 10500 - 100,0",""
"402","Izdatki za blago in storitve","0 10500 10500 - 100,0",""
"9366","EU - SEC II","0 12941 0 - 0,0",""
"402","Izdatki za blago in storitve","0 12941 0 - 0,0",""
"0804","Vzpostavitev južne meje","56861773 54993935 53385379 93,9 97,1",""
"08041701","Vzpostavitev južne meje","56861773 54993935 53385379 93,9 97,1",""
"5471","Plače - Schengenski kader","42889983 44063913 43912205 102,4 99,7",""
"400","Plače in drugi izdatki zaposlenim","34902295 36091225 35950139 103,0 99,6",""
"401","Prispevki delodajalcev za socialno varnost","7258903 7596703 7593170 104,6 100,0",""
"402","Izdatki za blago in storitve","728785 375985 368896 50,6 98,1",""
"5861","Mejni prehodi na zunanji meji EU","880619 963817 959279 108,9 99,5",""
"402","Izdatki za blago in storitve","880619 963817 959279 108,9 99,5",""
"1654","Schengen - objekti in oprema","5948100 5901402 5774972 97,1 97,9",""
"402","Izdatki za blago in storitve","173421 71513 71513 41,2 100,0",""
"420","Nakup in gradnja osnovnih sredstev","5774679 5829889 5703459 98,8 97,8",""
"9099","TF CFCU - 2004 - usposabljanje - pravni red EU, Schengen - popristopna pomoč","0 15620 15620 - 100,0",""
"402","Izdatki za blago in storitve","0 15620 15620 - 100,0",""
"9315","Twinning Phare Project","0 85000 52943 - 62,3",""
"400","Plače in drugi izdatki zaposlenim","0 24039 24039 - 100,0",""
"401","Prispevki delodajalcev za socialno varnost","0 5649 5649 - 100,0",""
"402","Izdatki za blago in storitve","0 55312 23255 - 42,0",""
"9436","Sklad za meje - 07-13 - EU","4151678 2679944 1819004 43,8 67,9",""
"400","Plače in drugi izdatki zaposlenim","0 64000 63242 - 98,8",""
"401","Prispevki delodajalcev za socialno varnost","0 10050 9785 - 97,4",""
"402","Izdatki za blago in storitve","4151678 435703 89231 2,2 20,5",""
"420","Nakup in gradnja osnovnih sredstev","0 2170192 1656746 - 76,3",""
"9262","Sklad za meje 2008 - 07-13 - EU","0 133200 133200 - 100,0",""
"420","Nakup in gradnja osnovnih sredstev","0 133200 133200 - 100,0",""
"9437","Sklad za vračanje - 07-13 - EU","313500 107534 73922 23,6 68,7",""
"402","Izdatki za blago in storitve","313500 107534 73922 23,6 68,7",""
"9438","Sklad za meje - 07-13 - slovenska udeležba","1380000 938500 575381 41,7 61,3",""
"402","Izdatki za blago in storitve","1380000 236192 23132 1,7 9,8",""
"420","Nakup in gradnja osnovnih sredstev","0 702308 552249 - 78,6",""
"9277","Sklad za meje 2008 - 07-13 - slovenska udeležba","0 46306 44400 - 95,9",""
"420","Nakup in gradnja osnovnih sredstev","0 46306 44400 - 95,9",""
"9439","Sklad za vračanje - 07-13 - slovenska udeležba","105005 58699 24452 23,3 41,7",""
"402","Izdatki za blago in storitve","105005 58699 24452 23,3 41,7",""
"9278","Skladi - DDV - 07-13 - slovenska udeležba","1192888 0 0 0,0 -",""
"402","Izdatki za blago in storitve","1192888 0 0 0,0 -",""
"1715","Inšpektorat RS za notranje zadeve","550000 595527 584101 106,2 98,1",""
"08","NOTRANJE ZADEVE IN VARNOST","550000 595527 584101 106,2 98,1",""
"0801","Notranje zadeve","550000 595527 584101 106,2 98,1",""
"08011701","Urejanje notranjih zadev","550000 595527 584101 106,2 98,1",""
"1676","Plače","530000 575527 568073 107,2 98,7",""
"400","Plače in drugi izdatki zaposlenim","449650 483743 476804 106,0 98,6",""
"401","Prispevki delodajalcev za socialno varnost","70350 77984 77702 110,5 99,6",""
"402","Izdatki za blago in storitve","10000 13800 13568 135,7 98,3",""
"1657","Materialni stroški","20000 20000 16028 80,1 80,1",""
"402","Izdatki za blago in storitve","20000 20000 16028 80,1 80,1",""
"18","MINISTRSTVO ZA ZUNANJE ZADEVE","81225326 84773002 78607372 96,8 92,7",""
"1811","Ministrstvo za zunanje zadeve","81225326 84773002 78607372 96,8 92,7",""
"03","ZUNANJA POLITIKA IN MEDNARODNA POMOČ","81225326 84223002 78607372 96,8 93,3",""
"0301","Zunanje zadeve in konzularne storitve","68305700 71063505 65662316 96,1 92,4",""
"03011801","Izvajanje zunanje politike","18127666 19196335 18969019 104,6 98,8",""
"3015","Plače","11208266 12059489 12015197 107,2 99,6",""
"400","Plače in drugi izdatki zaposlenim","9213375 10144101 10110783 109,7 99,7",""
"401","Prispevki delodajalcev za socialno varnost","1460348 1621723 1617897 110,8 99,8",""
"402","Izdatki za blago in storitve","534543 293665 286517 53,6 97,6",""
"3339","Materialni stroški","3500000 3863381 3823643 109,3 99,0",""
"402","Izdatki za blago in storitve","3500000 3863381 3823643 109,3 99,0",""
"7431","Izobraževanje diplomatov","21000 21000 2416 11,5 11,5",""
"402","Izdatki za blago in storitve","21000 21000 2416 11,5 11,5",""
"3663","Meddržavno sodelovanje","3050000 2809309 2726374 89,4 97,1",""
"402","Izdatki za blago in storitve","3050000 2809309 2726374 89,4 97,1",""
"2543","Raziskovalne dejavnosti","4200 4200 0 0,0 0,0",""
"402","Izdatki za blago in storitve","4200 4200 0 0,0 0,0",""
"4012","Ureditev državne meje","4200 4200 0 0,0 0,0",""
"402","Izdatki za blago in storitve","4200 4200 0 0,0 0,0",""
"402","Izdatki za blago in storitve","170000 168000 163104 95,9 97,1",""
"412","Transferi neprofitnim organizacijam in ustanovam","170000 172000 172000 101,2 100,0",""
"7859","Pakt stabilnosti za JVE - tuja donacija","0 8475 0 - 0,0",""
"402","Izdatki za blago in storitve","0 8475 0 - 0,0",""
"7412","Strateški forum Bled - donacija","0 86281 66284 - 76,8",""
"402","Izdatki za blago in storitve","0 86281 66284 - 76,8",""
"03011802","Delovanje diplomatsko konzularnih predstavništev","50178034 51867170 46693297 93,1 90,0",""
"2499","Plače DKP","17299924 17418186 17003270 98,3 97,6",""
"400","Plače in drugi izdatki zaposlenim","15645343 15931987 15597208 99,7 97,9",""
"401","Prispevki delodajalcev za socialno varnost","1251369 1253714 1218000 97,3 97,2",""
"402","Izdatki za blago in storitve","403212 232485 188062 46,6 80,9",""
"2541","Materialni stroški DKP","9703411 11004628 10058623 103,7 91,4",""
"402","Izdatki za blago in storitve","9703411 11004628 10058623 103,7 91,4",""
"7435","Investicije in investicijsko vzdrževanje državnih organov","5551475 4801359 2961274 53,3 61,7",""
"402","Izdatki za blago in storitve","0 995 995 - 100,0",""
"420","Nakup in gradnja osnovnih sredstev","5551475 4800364 2960279 53,3 61,7",""
"402","Izdatki za blago in storitve","15949756 17709424 16639393 104,3 94,0",""
"7458","Konzularna zaščita - meddržavni dogovor","10000 0 0 0,0 -",""
"402","Izdatki za blago in storitve","10000 0 0 0,0 -",""
"8949","Osnovna sredstva - sredstva od prodaje državnega premoženja","1663468 779413 30737 1,9 3,9",""
"402","Izdatki za blago in storitve","0 33226 0 - 0,0",""
"420","Nakup in gradnja osnovnih sredstev","1663468 746187 30737 1,9 4,1",""
"7395","Osnovna sredstva - sredstva odškodnine","0 154160 0 - 0,0",""
"420","Nakup in gradnja osnovnih sredstev","0 154160 0 - 0,0",""
"0302","Mednarodno sodelovanje in udeležba","1815000 1643000 1628918 89,8 99,1",""
"03021801","Članarine mednarodnim organizacijam","1815000 1643000 1628918 89,8 99,1",""
"1297","Članarine in kotizacije v tujini","1815000 1643000 1628918 89,8 99,1",""
"402","Izdatki za blago in storitve","1815000 1643000 1628918 89,8 99,1",""
"0303","Mednarodna pomoč","1633537 1998890 1996597 122,2 99,9",""
"03031801","Razvojna in humanitarna pomoč","1633537 1998890 1996597 122,2 99,9",""
"6362","Pomoč pri vključevanju v EU","900000 893700 893700 99,3 100,0",""
"412","Transferi neprofitnim organizacijam in ustanovam","900000 893700 893700 99,3 100,0",""
"8270","Razvojno sodelovanje in humanitarna pomoč","733537 1105190 1102897 150,4 99,8",""
"402","Izdatki za blago in storitve","3140 21000 21000 668,8 100,0",""
"412","Transferi neprofitnim organizacijam in ustanovam","730397 1084190 1081897 148,1 99,8",""
"0304","Predsedovanje EU","9471089 9517607 9319542 98,4 97,9",""
"03041801","Predsedovanje EU","9471089 9517607 9319542 98,4 97,9",""
"400","Plače in drugi izdatki zaposlenim","5761620 5451365 5332337 92,6 97,8",""
"401","Prispevki delodajalcev za socialno varnost","431471 499062 463239 107,4 92,8",""
"402","Izdatki za blago in storitve","92909 63909 54755 58,9 85,7",""
"402","Izdatki za blago in storitve","3146874 3462089 3428029 108,9 99,0",""
"5847","Investicije - predsedovanje EU","38215 0 0 0,0 -",""
"420","Nakup in gradnja osnovnih sredstev","38215 0 0 0,0 -",""
"9360","Predsedovanje EU - donacija","0 41182 41182 - 100,0",""
"402","Izdatki za blago in storitve","0 41182 41182 - 100,0",""
"08","NOTRANJE ZADEVE IN VARNOST","0 550000 0 - 0,0",""
"0804","Vzpostavitev južne meje","0 550000 0 - 0,0",""
"08041801","Vzpostavitev južne meje","0 550000 0 - 0,0",""
"9341","Sklad za meje 2007 - 07-13 - EU","0 412500 0 - 0,0",""
"420","Nakup in gradnja osnovnih sredstev","0 412500 0 - 0,0",""
"9342","Sklad za meje 2007 - 07-13 - slovenska udeležba","0 137500 0 - 0,0",""
"420","Nakup in gradnja osnovnih sredstev","0 137500 0 - 0,0",""
"19","MINISTRSTVO ZA OBRAMBO","560078620 564474284 546271569 97,5 96,8",""
"1911","Ministrstvo za obrambo","75659772 87317501 77189319 102,0 88,4",""
"03","ZUNANJA POLITIKA IN MEDNARODNA POMOČ","101402 101402 101348 100,0 100,0",""
"0304","Predsedovanje EU","101402 101402 101348 100,0 100,0",""
"03041901","Predsedovanje EU","101402 101402 101348 100,0 100,0",""
"6220","Predsedovanje EU","101402 101402 101348 100,0 100,0",""
"400","Plače in drugi izdatki zaposlenim","84361 83947 83931 99,5 100,0",""
"401","Prispevki delodajalcev za socialno varnost","14552 14776 14751 101,4 99,8",""
"402","Izdatki za blago in storitve","2489 2679 2666 107,1 99,5",""
"05","ZNANOST IN TEHNOLOŠKI RAZVOJ","18183134 16829134 16757676 92,2 99,6",""
"0502","Znanstveno - raziskovalna dejavnost","6156270 6065970 6065119 98,5 100,0",""
"05021901","Znanstveno-raziskovalna dejavnost na obrambnem področju","6156270 6065970 6065119 98,5 100,0",""
"2029","Razvoj in raziskave","6156270 6065970 6065119 98,5 100,0",""
"402","Izdatki za blago in storitve","24213 168 0 0,0 0,0",""
"410","Subvencije","1217531 1260690 1260690 103,5 100,0",""
"413","Drugi tekoči domači transferi","3915248 4137157 4136720 105,7 100,0",""
"432","Investicijski transferi proračunskim uporabnikom","999278 667956 667709 66,8 100,0",""
"0504","Tehnološki razvoj","12026864 10763164 10692557 88,9 99,3",""
"05041901","Tehnološki razvoj na obrambnem področju","12026864 10763164 10692557 88,9 99,3",""
"2030","Tehnološki razvoj","12026864 10763164 10692557 88,9 99,3",""
"402","Izdatki za blago in storitve","5761744 4130044 4079687 70,8 98,8",""
"410","Subvencije","6245120 6633120 6612871 105,9 99,7",""
"414","Tekoči transferi v tujino","20000 0 0 0,0 -",""
"07","OBRAMBA IN UKREPI OB IZREDNIH DOGODKIH","57375236 70386965 60330295 105,2 85,7",""
"0701","Splošne in skupne funkcije","57375236 70386965 60330295 105,2 85,7",""
"07011901","Urejanje skupnih funkcij na področju obrambe","42419357 43446346 43170924 101,8 99,4",""
"3009","Plače","31581516 31950181 31832715 100,8 99,6",""
"400","Plače in drugi izdatki zaposlenim","26616187 26655002 26550206 99,8 99,6",""
"401","Prispevki delodajalcev za socialno varnost","4477496 4700346 4689818 104,7 99,8",""
"402","Izdatki za blago in storitve","487833 594833 592691 121,5 99,6",""
"3333","Materialni stroški","4817805 5343387 5326856 110,6 99,7",""
"402","Izdatki za blago in storitve","4770421 5181219 5164771 108,3 99,7",""
"411","Transferi posameznikom in gospodinjstvom","4384 2476 2394 54,6 96,7",""
"412","Transferi neprofitnim organizacijam in ustanovam","43000 159692 159692 371,4 100,0",""
"5884","Obrambne zadeve","1107845 1337554 1334037 120,4 99,7",""
"402","Izdatki za blago in storitve","1101929 1324270 1321218 119,9 99,8",""
"411","Transferi posameznikom in gospodinjstvom","5916 13284 12818 216,7 96,5",""
"5883","Sredstva za operativno delovanje","4361811 4145563 4131867 94,7 99,7",""
"402","Izdatki za blago in storitve","1843095 1674998 1663707 90,3 99,3",""
"420","Nakup in gradnja osnovnih sredstev","2518716 2424187 2421783 96,2 99,9",""
"432","Investicijski transferi proračunskim uporabnikom","0 46378 46377 - 100,0",""
"116","COU Poljče","83459 72040 60695 72,7 84,3",""
"402","Izdatki za blago in storitve","75948 70339 58994 77,7 83,9",""
"420","Nakup in gradnja osnovnih sredstev","7511 1702 1702 22,7 100,0",""
"117","Počitniška dejavnost","172906 223322 144182 83,4 64,6",""
"402","Izdatki za blago in storitve","167064 157298 132130 79,1 84,0",""
"420","Nakup in gradnja osnovnih sredstev","5842 66025 12051 206,3 18,3",""
"118","Prehrambna lastna dejavnost","294015 374299 340571 115,8 91,0",""
"402","Izdatki za blago in storitve","284085 352498 324215 114,1 92,0",""
"420","Nakup in gradnja osnovnih sredstev","9930 21801 16356 164,7 75,0",""
"07011903","Mednarodno sodelovanje","7387050 7041063 6897018 93,4 98,0",""
"2147","Plače predstavnikov v tujini","1669170 1565226 1495188 89,6 95,5",""
"400","Plače in drugi izdatki zaposlenim","1669170 1565226 1495188 89,6 95,5",""
"2148","Materialni stroški predstavnikov v tujini","1528228 1695966 1691174 110,7 99,7",""
"402","Izdatki za blago in storitve","1528228 1695966 1691174 110,7 99,7",""
"5885","Mednarodno sodelovanje","3799352 3511900 3492880 91,9 99,5",""
"402","Izdatki za blago in storitve","1789522 1736644 1717944 96,0 98,9",""
"412","Transferi neprofitnim organizacijam in ustanovam","40000 40000 40000 100,0 100,0",""
"414","Tekoči transferi v tujino","1969830 1735256 1734936 88,1 100,0",""
"7639","Projekti civilno vojaškega sodelovanja","390300 267971 217776 55,8 81,3",""
"400","Plače in drugi izdatki zaposlenim","190300 142300 92192 48,5 64,8",""
"402","Izdatki za blago in storitve","150000 98315 98236 65,5 99,9",""
"414","Tekoči transferi v tujino","25000 2626 2626 10,5 100,0",""
"431","Investicijski transferi pravnim in fizičnim osebam, ki niso proračunski uporabniki","25000 24730 24722 98,9 100,0",""
"07011904","Upravljanje z državnim premoženjem","7568829 19899556 10262353 135,6 51,6",""
"8376","Nepremičnine - sredstva od prodaje državnega premoženja","5100000 14683504 6274516 123,0 42,7",""
"402","Izdatki za blago in storitve","2500000 8164000 1042837 41,7 12,8",""
"420","Nakup in gradnja osnovnih sredstev","2600000 6518257 5231680 201,2 80,3",""
"432","Investicijski transferi proračunskim uporabnikom","0 1247 0 - 0,0",""
"8410","Premičnine - sredstva od prodaje državnega premoženja","597557 188563 19986 3,3 10,6",""
"402","Izdatki za blago in storitve","574038 151558 8316 1,5 5,5",""
"420","Nakup in gradnja osnovnih sredstev","23519 37005 11670 49,6 31,5",""
"8411","Zavarovalnica- sredstva odškodnine","54248 121384 59050 108,9 48,7",""
"402","Izdatki za blago in storitve","54248 76257 53104 97,9 69,6",""
"420","Nakup in gradnja osnovnih sredstev","0 45127 5946 - 13,2",""
"7808","Oddaja poslovnih prostorov - sredstva najemnine","312969 397778 308979 98,7 77,7",""
"402","Izdatki za blago in storitve","0 145387 62220 - 42,8",""
"420","Nakup in gradnja osnovnih sredstev","312969 252391 246759 78,8 97,8",""
"402","Izdatki za blago in storitve","417294 2675055 2068764 495,8 77,3",""
"420","Nakup in gradnja osnovnih sredstev","1084961 1830597 1531059 141,1 83,6",""
"7572","Oddaja telekomunikacijskih objektov - sredstva najemnine","1800 2675 0 0,0 0,0",""
"402","Izdatki za blago in storitve","1800 2675 0 0,0 0,0",""
"1912","Uprava RS za zaščito in reševanje","33942314 38934447 37435296 110,3 96,2",""
"07","OBRAMBA IN UKREPI OB IZREDNIH DOGODKIH","33942314 38934447 37435296 110,3 96,2",""
"0703","Varstvo pred naravnimi in drugimi nesrečami","33942314 38934447 37435296 110,3 96,2",""
"07031904","Mednarodno sodelovanje","746958 858958 853903 114,3 99,4",""
"2152","Mednarodni sklad za odstranjevanje min","379736 379736 379736 100,0 100,0",""
"412","Transferi neprofitnim organizacijam in ustanovam","379736 379736 379736 100,0 100,0",""
"8833","Mednarodno sodelovanje","367222 479222 474167 129,1 99,0",""
"402","Izdatki za blago in storitve","367222 479222 474167 129,1 99,0",""
"07031905","Pripravljenost sistema za zaščito, reševanje in pomoč","21066547 22831623 22794594 108,2 99,8",""
"4921","Plače","8227933 8911783 8904585 108,2 99,9",""
"400","Plače in drugi izdatki zaposlenim","6919014 7440176 7434000 107,4 99,9",""
"401","Prispevki delodajalcev za socialno varnost","1212882 1344617 1343603 110,8 99,9",""
"402","Izdatki za blago in storitve","96037 126990 126982 132,2 100,0",""
"4925","Materialni stroški","1101621 1206055 1204848 109,4 99,9",""
"402","Izdatki za blago in storitve","1094621 1206055 1204848 110,1 99,9",""
"411","Transferi posameznikom in gospodinjstvom","7000 0 0 0,0 -",""
"6551","Delovanje Izobraževalnega centra za zaščito in reševanje","438158 422349 421070 96,1 99,7",""
"402","Izdatki za blago in storitve","329225 319076 318693 96,8 99,9",""
"420","Nakup in gradnja osnovnih sredstev","108933 103272 102377 94,0 99,1",""
"5844","Državne rezerve in oprema enot za zaščito in reševanje","3115562 2200492 2200491 70,6 100,0",""
"402","Izdatki za blago in storitve","1376572 464294 464293 33,7 100,0",""
"420","Nakup in gradnja osnovnih sredstev","1738990 1736198 1736197 99,8 100,0",""
"5890","Gradnje in adaptacije","1739024 1573064 1573054 90,5 100,0",""
"402","Izdatki za blago in storitve","50182 76795 76795 153,0 100,0",""
"420","Nakup in gradnja osnovnih sredstev","1688842 1496268 1496259 88,6 100,0",""
"5843","Izpostave URSZR","874531 904363 904111 103,4 100,0",""
