"A","Bilanca odhodkov","",""
"402","Izdatki za blago in storitve","568174 568090 430539 75,8 75,8",""
"1647","Investicije in investicijsko vzdrževanje državnih organov","8400 8484 8242 98,1 97,2",""
"420","Nakup in gradnja osnovnih sredstev","8400 8484 8242 98,1 97,2",""
"9564","HGM - donacija","0 79947 79947 - 100,0",""
"402","Izdatki za blago in storitve","0 79947 79947 - 100,0",""
"7596","Tehnična pomoč KS - 07-13 - EU","534488 534488 334813 62,6 62,6",""
"400","Plače in drugi izdatki zaposlenim","253452 234152 198322 78,3 84,7",""
"401","Prispevki delodajalcev za socialno varnost","19875 36075 29818 150,0 82,7",""
"402","Izdatki za blago in storitve","252310 252407 99579 39,5 39,5",""
"420","Nakup in gradnja osnovnih sredstev","8851 11855 7094 80,1 59,8",""
"400","Plače in drugi izdatki zaposlenim","44721 40834 34999 78,3 85,7",""
"401","Prispevki delodajalcev za socialno varnost","3513 7053 5262 149,8 74,6",""
"402","Izdatki za blago in storitve","44525 44542 17573 39,5 39,5",""
"420","Nakup in gradnja osnovnih sredstev","1562 1892 1252 80,1 66,2",""
"9371","Tehnična pomoč SZM - 07-13","42100 42100 34699 82,4 82,4",""
"400","Plače in drugi izdatki zaposlenim","39100 29746 27831 71,2 93,6",""
"401","Prispevki delodajalcev za socialno varnost","0 9264 4469 - 48,2",""
"402","Izdatki za blago in storitve","2000 2000 1309 65,5 65,5",""
"420","Nakup in gradnja osnovnih sredstev","1000 1090 1090 109,0 100,0",""
"16","MINISTRSTVO ZA FINANCE","572384084 574917079 204104530 35,7 35,5",""
"1611","Ministrstvo za finance","572384084 574917079 204104530 35,7 35,5",""
"03","ZUNANJA POLITIKA IN MEDNARODNA POMOČ","9820607 9820607 9820607 100,0 100,0",""
"0302","Mednarodno sodelovanje in udeležba","9820607 9820607 9820607 100,0 100,0",""
"03021601","Sodelovanje z mednarodnimi institucijami","9820607 9820607 9820607 100,0 100,0",""
"8687","Obveznosti do mednarodnih finančnih ustanov","9820607 9820607 9820607 100,0 100,0",""
"441","Povečanje kapitalskih deležev in finančnih naložb","9820607 9820607 9820607 100,0 100,0",""
"09","PRAVOSODJE","194040 1062097 1062097 547,4 100,0",""
"0905","Odškodnine","194040 1062097 1062097 547,4 100,0",""
"09051601","Odškodnine po sodnih sklepih","194040 1062097 1062097 547,4 100,0",""
"9221","Sredstva za odpravo obveznosti upravičencem po zakonu o denacionalizaciji - Slovenski odškodninski sklad","87630 479657 479657 547,4 100,0",""
"442","Poraba sredstev kupnin iz naslova privatizacije","87630 479657 479657 547,4 100,0",""
"7246","Sredstva za poplačilo vojne odškodnine in odškodnine po zakonu o popravi krivic","106410 582440 582440 547,4 100,0",""
"442","Poraba sredstev kupnin iz naslova privatizacije","106410 582440 582440 547,4 100,0",""
"14","GOSPODARSTVO","562369437 564034374 193221826 34,4 34,3",""
"1401","Urejanje in nadzor na področju gospodarstva in varstva potrošnikov","540000000 540000000 182155830 33,7 33,7",""
"14011601","Urejanje na področju gospodarstva","540000000 540000000 182155830 33,7 33,7",""
"9545","Dokapitalizacija bank","300000000 300000000 12985000 4,3 4,3",""
"441","Povečanje kapitalskih deležev in finančnih naložb","300000000 300000000 12985000 4,3 4,3",""
"441","Povečanje kapitalskih deležev in finančnih naložb","160000000 160000061 160000061 100,0 100,0",""
"441","Povečanje kapitalskih deležev in finančnih naložb","80000000 79999939 9170769 11,5 11,5",""
"1402","Pospeševanje in podpora gospodarski dejavnosti","22369437 24034374 11065996 49,5 46,0",""
"14021601","Jamstva","12056468 12056468 1065996 8,8 8,8",""
"6611","Jamstva Republike Slovenije","12056468 12056468 1065996 8,8 8,8",""
"440","Dana posojila","12056468 12056468 1065996 8,8 8,8",""
"14021602","Programi povečevanja konkurenčnosti","10312969 11977906 10000000 97,0 83,5",""
"9548","Varnostne rezerve SID banke","10000000 10000000 10000000 100,0 100,0",""
"441","Povečanje kapitalskih deležev in finančnih naložb","10000000 10000000 10000000 100,0 100,0",""
"2858","Sredstva za spodbujanje izvoza","312969 1977906 0 0,0 0,0",""
"442","Poraba sredstev kupnin iz naslova privatizacije","312969 1977906 0 0,0 0,0",""
"16","MINISTRSTVO ZA FINANCE","853800200 849107271 848796423 99,4 100,0",""
"1611","Ministrstvo za finance","853800200 849107271 848796423 99,4 100,0",""
"22","SERVISIRANJE JAVNEGA DOLGA","853800200 849107271 848796423 99,4 100,0",""
"2201","Servisiranje javnega dolga","853800200 849107271 848796423 99,4 100,0",""
"22011601","Obveznosti iz naslova restrukturiranja podjetniškega in bančnega sektorja","11948960 11948298 11840873 99,1 99,1",""
"551","Odplačila dolga v tujino","11948960 11948298 11840873 99,1 99,1",""
"22011603","Obveznosti iz naslova financiranja izvrševanja proračuna - domače zadolževanje","411466240 411466902 411466107 100,0 100,0",""
"4149","Glavnica - domači krediti - TRP","65097647 65097647 65097646 100,0 100,0",""
"550","Odplačila domačega dolga","65097647 65097647 65097646 100,0 100,0",""
"1623","Glavnica za domače zadolževanje","346368593 346369255 346368461 100,0 100,0",""
"550","Odplačila domačega dolga","346368593 346369255 346368461 100,0 100,0",""
"22011604","Obveznosti iz naslova financiranja izvrševanja proračuna - tuje zadolževanje","413700000 413700000 413497372 100,0 100,0",""
"1625","Glavnica za tuje zadolževanje","413700000 413700000 413497372 100,0 100,0",""
"551","Odplačila dolga v tujino","413700000 413700000 413497372 100,0 100,0",""
"22011606","Obveznosti iz naslova obveznic za posebne namene","16685000 11992071 11992071 71,9 100,0",""
"2048","Glavnica - obveznice (SOD) za plačilo odškodnine za zaplenjeno premoženje","6260000 6540455 6540455 104,5 100,0",""
"550","Odplačila domačega dolga","6260000 6540455 6540455 104,5 100,0",""
"4316","Glavnica - obveznice (SOD) za plačilo odškodnine žrtvam vojnega in povojnega nasilja","10425000 5451616 5451616 52,3 100,0",""
"550","Odplačila domačega dolga","10425000 5451616 5451616 52,3 100,0",""
"17","MINISTRSTVO ZA NOTRANJE ZADEVE","346232458 357462398 350929907 101,4 98,2",""
"1711","Ministrstvo za notranje zadeve","22864405 20211193 17618203 77,1 87,2",""
"08","NOTRANJE ZADEVE IN VARNOST","22864405 20211193 17618203 77,1 87,2",""
"0801","Notranje zadeve","22864405 20211193 17618203 77,1 87,2",""
"08011701","Urejanje notranjih zadev","20163405 18279549 16916766 83,9 92,5",""
"3107","Plače","11277690 11680964 11670037 103,5 99,9",""
"400","Plače in drugi izdatki zaposlenim","9703866 10076186 10066151 103,7 99,9",""
"401","Prispevki delodajalcev za socialno varnost","1573824 1604778 1603886 101,9 99,9",""
"3431","Materialni stroški","3437998 3134363 3025835 88,0 96,5",""
"402","Izdatki za blago in storitve","3437998 3134363 3025835 88,0 96,5",""
"7429","Investicije in investicijsko vzdrževanje državnih organov","1223293 859493 822350 67,2 95,7",""
"420","Nakup in gradnja osnovnih sredstev","1223293 859493 822350 67,2 95,7",""
"6094","Oskrba migrantov","1132000 935000 895416 79,1 95,8",""
"402","Izdatki za blago in storitve","1039000 848838 812148 78,2 95,7",""
"411","Transferi posameznikom in gospodinjstvom","30000 31000 30474 101,6 98,3",""
"412","Transferi neprofitnim organizacijam in ustanovam","39000 21100 21002 53,9 99,5",""
"420","Nakup in gradnja osnovnih sredstev","24000 34062 31792 132,5 93,3",""
"6789","Evropski begunski sklad II - letni program 2007 - lastna udeležba","51447 51447 24561 47,7 47,7",""
"402","Izdatki za blago in storitve","51447 51447 24561 47,7 47,7",""
"9372","ECRN - tuja donacija","87122 34580 3784 4,3 10,9",""
"400","Plače in drugi izdatki zaposlenim","46450 7038 1521 3,3 21,6",""
"401","Prispevki delodajalcev za socialno varnost","13550 420 245 1,8 58,3",""
"402","Izdatki za blago in storitve","27122 27122 2018 7,4 7,4",""
"9376","EMN - tuja donacija","188790 121784 24184 12,8 19,9",""
"400","Plače in drugi izdatki zaposlenim","15450 3000 1418 9,2 47,3",""
"401","Prispevki delodajalcev za socialno varnost","4550 1000 228 5,0 22,8",""
"402","Izdatki za blago in storitve","166790 117784 22538 13,5 19,1",""
"420","Nakup in gradnja osnovnih sredstev","2000 0 0 0,0 -",""
"7955","Evropski begunski sklad - tuja donacija","24150 24150 0 0,0 0,0",""
"402","Izdatki za blago in storitve","24150 24150 0 0,0 0,0",""
"9162","Evropski begunski sklad II - letni program 2005 - tuja donacija","11859 11859 0 0,0 0,0",""
"402","Izdatki za blago in storitve","11859 11859 0 0,0 0,0",""
"9161","Evropski begunski sklad II - letni program 2006 - tuja donacija","41839 41839 0 0,0 0,0",""
"402","Izdatki za blago in storitve","41839 41839 0 0,0 0,0",""
"6786","Evropski begunski sklad II - letni program 2007 - tuja donacija","124832 124832 73930 59,2 59,2",""
"402","Izdatki za blago in storitve","124586 124586 73684 59,1 59,1",""
"420","Nakup in gradnja osnovnih sredstev","246 246 246 100,0 100,0",""
"3666","Vplačane tiskovine","9000 5853 4532 50,4 77,4",""
"402","Izdatki za blago in storitve","9000 5853 4532 50,4 77,4",""
"9260","Evropski begunski sklad - 07-13 - EU","599500 529500 153358 25,6 29,0",""
"402","Izdatki za blago in storitve","579711 509711 144684 25,0 28,4",""
"411","Transferi posameznikom in gospodinjstvom","19789 19789 8675 43,8 43,8",""
"9261","Sklad za vključevanje - 07-13 - EU","690000 340000 71375 10,3 21,0",""
"402","Izdatki za blago in storitve","690000 340000 71375 10,3 21,0",""
"9259","Sklad za vključevanje 2007 - 07-13 - EU","570000 90000 57669 10,1 64,1",""
"402","Izdatki za blago in storitve","570000 90000 57669 10,1 64,1",""
"402","Izdatki za blago in storitve","271904 129904 43862 16,1 33,8",""
"411","Transferi posameznikom in gospodinjstvom","6596 3596 2891 43,8 80,4",""
"9274","Sklad za vključevanje - 07-13 - slovenska udeležba","240385 110385 23791 9,9 21,6",""
"402","Izdatki za blago in storitve","240385 110385 23791 9,9 21,6",""
"9273","Sklad za vključevanje 2007 - 07-13 - slovenska udeležba","175000 50000 19190 11,0 38,4",""
"402","Izdatki za blago in storitve","175000 50000 19190 11,0 38,4",""
"08011703","Upravljanje z državnim premoženjem","2701000 1931644 701437 26,0 36,3",""
"8386","Stvarno premoženje - sredstva od prodaje državnega premoženja","2381000 1470338 598041 25,1 40,7",""
"402","Izdatki za blago in storitve","215000 239205 6033 2,8 2,5",""
"420","Nakup in gradnja osnovnih sredstev","2166000 1231133 592009 27,3 48,1",""
"8404","Stvarno premoženje - sredstva odškodnine","320000 461306 103396 32,3 22,4",""
"402","Izdatki za blago in storitve","215000 374163 102022 47,5 27,3",""
"420","Nakup in gradnja osnovnih sredstev","105000 87143 1374 1,3 1,6",""
"1714","Policija","322782617 336561035 332623686 103,1 98,8",""
"08","NOTRANJE ZADEVE IN VARNOST","322782617 336561035 332623686 103,1 98,8",""
"0801","Notranje zadeve","2242500 3174048 808107 36,0 25,5",""
"08011703","Upravljanje z državnim premoženjem","2242500 3174048 808107 36,0 25,5",""
"8683","Prevozna sredstva - sredstva odškodnine","310000 357429 3698 1,2 1,0",""
"402","Izdatki za blago in storitve","310000 355119 3698 1,2 1,0",""
"420","Nakup in gradnja osnovnih sredstev","0 2310 0 - 0,0",""
"7805","Stroški službenih stanovanj in samskih sob - sredstva najemnine","1932500 2816619 804409 41,6 28,6",""
"402","Izdatki za blago in storitve","801231 1136467 275148 34,3 24,2",""
"420","Nakup in gradnja osnovnih sredstev","1131269 1680152 529261 46,8 31,5",""
"0802","Policijska in kriminalistična dejavnost","",""
"08021701","Prometna varnost","1821828 2015781 2015140 110,6 100,0",""
"1226","Sredstva za izvajanje temeljne policijske dejavnosti","1821326 2015279 2015140 110,6 100,0",""
"402","Izdatki za blago in storitve","1155000 1349044 1348905 116,8 100,0",""
"420","Nakup in gradnja osnovnih sredstev","666326 666235 666235 100,0 100,0",""
"7394","Nakup motornega kolesa - donacija","124 124 0 0,0 0,0",""
"420","Nakup in gradnja osnovnih sredstev","124 124 0 0,0 0,0",""
"7978","Sofinanciranje nakupa terenskega vozila - donacija","378 378 0 0,0 0,0",""
"402","Izdatki za blago in storitve","378 378 0 0,0 0,0",""
"08021702","Notranja varnost","261863762 271692203 271102959 103,5 99,8",""
"5569","Plače","203986756 211893051 211846397 103,9 100,0",""
"400","Plače in drugi izdatki zaposlenim","168498722 174594264 174547610 103,6 100,0",""
"401","Prispevki delodajalcev za socialno varnost","35488034 37298787 37298787 105,1 100,0",""
"5572","Materialni stroški","35064818 37717353 37607387 107,3 99,7",""
"402","Izdatki za blago in storitve","35064818 37717353 37607387 107,3 99,7",""
"1228","Investicije in investicijsko vzdrževanje policije","12265895 10900127 10894355 88,8 100,0",""
"420","Nakup in gradnja osnovnih sredstev","12265895 10900127 10894355 88,8 100,0",""
"5573","Oborožitev, strelivo in plinska sredstva","522500 451613 451613 86,4 100,0",""
"402","Izdatki za blago in storitve","522500 451613 451613 86,4 100,0",""
"5579","Osebna oprema","5045000 4994648 4994648 99,0 100,0",""
"402","Izdatki za blago in storitve","5045000 4994648 4994648 99,0 100,0",""
"402","Izdatki za blago in storitve","390000 323821 320880 82,3 99,1",""
"5578","Sredstva za varstvo pri delu","203000 201385 201385 99,2 100,0",""
"402","Izdatki za blago in storitve","203000 201385 201385 99,2 100,0",""
"5577","Stroški službenih stanovanj in samskih domov","200604 211706 211580 105,5 99,9",""
"402","Izdatki za blago in storitve","200604 211706 211580 105,5 99,9",""
"6093","Varovanje določenih oseb, objektov in okolišev objektov","396500 482251 463554 116,9 96,1",""
"402","Izdatki za blago in storitve","316500 420303 401606 126,9 95,6",""
"420","Nakup in gradnja osnovnih sredstev","80000 61948 61948 77,4 100,0",""
"402","Izdatki za blago in storitve","1000000 967395 967395 96,7 100,0",""
"7856","Konferenca FBI NAA - tuja donacija","3018 3018 3018 100,0 100,0",""
"420","Nakup in gradnja osnovnih sredstev","3018 3018 3018 100,0 100,0",""
"8969","Manjše donacije","734 4484 0 0,0 0,0",""
"402","Izdatki za blago in storitve","0 3750 0 - 0,0",""
"420","Nakup in gradnja osnovnih sredstev","734 734 0 0,0 0,0",""
"9377","Policijski ataše v Črni gori","67707 67707 48201 71,2 71,2",""
"400","Plače in drugi izdatki zaposlenim","29549 36573 36573 123,8 100,0",""
"401","Prispevki delodajalcev za socialno varnost","6120 4741 4741 77,5 100,0",""
"402","Izdatki za blago in storitve","22557 22157 6887 30,5 31,1",""
"420","Nakup in gradnja osnovnih sredstev","9481 4236 0 0,0 0,0",""
"137","Počitniška dejavnost","645210 947557 925228 143,4 97,6",""
"402","Izdatki za blago in storitve","284208 467989 445688 156,8 95,2",""
"420","Nakup in gradnja osnovnih sredstev","361002 479567 479540 132,8 100,0",""
"139","Prehrana - gostinske storitve","1321626 1684024 1422181 107,6 84,5",""
"402","Izdatki za blago in storitve","1261200 1639824 1378350 109,3 84,1",""
"420","Nakup in gradnja osnovnih sredstev","60426 44201 43830 72,5 99,2",""
"1235","Prevozne in druge storitve","747600 833552 738477 98,8 88,6",""
"402","Izdatki za blago in storitve","719600 792097 698269 97,0 88,2",""
"420","Nakup in gradnja osnovnih sredstev","28000 41455 40207 143,6 97,0",""
"1233","Zdravstvena preventiva","2794 8513 6660 238,4 78,2",""
"402","Izdatki za blago in storitve","0 523 0 - 0,0",""
"420","Nakup in gradnja osnovnih sredstev","2794 7990 6660 238,4 83,4",""
"08021703","Kriminalistična dejavnost","4247548 4285084 4124527 97,1 96,3",""
"1236","Posebna sredstva za izvajanje kriminalistične dejavnosti","4208548 4258734 4112018 97,7 96,6",""
"402","Izdatki za blago in storitve","1880000 2185807 2039090 108,5 93,3",""
"420","Nakup in gradnja osnovnih sredstev","2328548 2072927 2072927 89,0 100,0",""
"9366","EU - SEC II","39000 26350 12509 32,1 47,5",""
"400","Plače in drugi izdatki zaposlenim","2000 7667 7664 383,2 100,0",""
"401","Prispevki delodajalcev za socialno varnost","0 1990 1826 - 91,8",""
"402","Izdatki za blago in storitve","37000 16694 3020 8,2 18,1",""
"0804","Vzpostavitev južne meje","",""
"08041701","Vzpostavitev južne meje","52606979 55393919 54572953 103,7 98,5",""
"5471","Plače - Schengenski kader","45019499 46575086 46570891 103,5 100,0",""
"400","Plače in drugi izdatki zaposlenim","37089941 38310733 38306538 103,3 100,0",""
"401","Prispevki delodajalcev za socialno varnost","7929558 8264353 8264353 104,2 100,0",""
"5861","Mejni prehodi na zunanji meji EU","1000000 940000 902807 90,3 96,0",""
"402","Izdatki za blago in storitve","1000000 940000 902807 90,3 96,0",""
"1654","Schengen - objekti in oprema","1085965 1085965 1051533 96,8 96,8",""
"402","Izdatki za blago in storitve","83900 64271 64271 76,6 100,0",""
"420","Nakup in gradnja osnovnih sredstev","1002065 1021694 987262 98,5 96,6",""
"9315","Twinning Phare Project","210557 101910 84813 40,3 83,2",""
"400","Plače in drugi izdatki zaposlenim","110000 38226 38194 34,7 99,9",""
"401","Prispevki delodajalcev za socialno varnost","18050 9205 9164 50,8 99,6",""
"402","Izdatki za blago in storitve","82507 54480 37455 45,4 68,8",""
"9436","Sklad za meje - 07-13 - EU","1312000 2012579 1710719 130,4 85,0",""
"400","Plače in drugi izdatki zaposlenim","137000 137000 109417 79,9 79,9",""
"401","Prispevki delodajalcev za socialno varnost","21200 21164 17256 81,4 81,5",""
"402","Izdatki za blago in storitve","276344 470688 200319 72,5 42,6",""
"420","Nakup in gradnja osnovnih sredstev","877456 1383727 1383727 157,7 100,0",""
"9262","Sklad za meje 2008 - 07-13 - EU","2072118 2824879 2681847 129,4 94,9",""
"402","Izdatki za blago in storitve","1069450 313355 170323 15,9 54,4",""
"420","Nakup in gradnja osnovnih sredstev","1002668 2511524 2511524 250,5 100,0",""
"9437","Sklad za vračanje - 07-13 - EU","117000 660 654 0,6 99,1",""
"402","Izdatki za blago in storitve","117000 660 654 0,6 99,1",""
"9263","Sklad za vračanje 2009 - 07-13 - EU","203250 141250 120207 59,1 85,1",""
"402","Izdatki za blago in storitve","203250 141250 120207 59,1 85,1",""
"9438","Sklad za meje - 07-13 - slovenska udeležba","425749 626919 515824 121,2 82,3",""
"402","Izdatki za blago in storitve","140251 174101 63006 44,9 36,2",""
"420","Nakup in gradnja osnovnih sredstev","285499 452818 452818 158,6 100,0",""
"9277","Sklad za meje 2008 - 07-13 - slovenska udeležba","1052591 983513 893668 84,9 90,9",""
"402","Izdatki za blago in storitve","718368 146338 56494 7,9 38,6",""
"420","Nakup in gradnja osnovnih sredstev","334223 837175 837175 250,5 100,0",""
"9439","Sklad za vračanje - 07-13 - slovenska udeležba","39000 39000 0 0,0 0,0",""
"402","Izdatki za blago in storitve","39000 39000 0 0,0 0,0",""
"9279","Sklad za vračanje 2009 - 07-13 - slovenska udeležba","69250 62158 39990 57,8 64,3",""
"402","Izdatki za blago in storitve","69250 62158 39990 57,8 64,3",""
"1715","Inšpektorat RS za notranje zadeve","585436 690170 688018 117,5 99,7",""
"08","NOTRANJE ZADEVE IN VARNOST","585436 690170 688018 117,5 99,7",""
"0801","Notranje zadeve","585436 690170 688018 117,5 99,7",""
"08011701","Urejanje notranjih zadev","585436 690170 688018 117,5 99,7",""
"1676","Plače","565436 658170 658083 116,4 100,0",""
"400","Plače in drugi izdatki zaposlenim","484317 565776 565690 116,8 100,0",""
"401","Prispevki delodajalcev za socialno varnost","81119 92394 92394 113,9 100,0",""
"1657","Materialni stroški","20000 32000 29935 149,7 93,6",""
"402","Izdatki za blago in storitve","20000 32000 29935 149,7 93,6",""
"18","MINISTRSTVO ZA ZUNANJE ZADEVE","75043019 77084090 73071601 97,4 94,8",""
"1811","Ministrstvo za zunanje zadeve","75043019 77084090 73071601 97,4 94,8",""
"03","ZUNANJA POLITIKA IN MEDNARODNA POMOČ","74710019 76751090 72852805 97,5 94,9",""
"0301","Zunanje zadeve in konzularne storitve","65034683 66977754 63136405 97,1 94,3",""
"03011801","Izvajanje zunanje politike","19335546 19816833 19647174 101,6 99,1",""
"3015","Plače","13513674 13891411 13812970 102,2 99,4",""
"400","Plače in drugi izdatki zaposlenim","11824264 11985187 11908398 100,7 99,4",""
"401","Prispevki delodajalcev za socialno varnost","1689410 1906224 1904572 112,7 99,9",""
"3339","Materialni stroški","3760000 3608499 3599275 95,7 99,7",""
"402","Izdatki za blago in storitve","3760000 3608499 3599275 95,7 99,7",""
"7431","Izobraževanje diplomatov","21000 21000 20791 99,0 99,0",""
"402","Izdatki za blago in storitve","21000 21000 20791 99,0 99,0",""
"3663","Meddržavno sodelovanje","1634000 1893501 1816824 111,2 96,0",""
"402","Izdatki za blago in storitve","1634000 1893501 1816824 111,2 96,0",""
"2543","Raziskovalne dejavnosti","4200 4200 4000 95,2 95,2",""
"402","Izdatki za blago in storitve","4200 4200 4000 95,2 95,2",""
"4012","Ureditev državne meje","4200 4200 0 0,0 0,0",""
"402","Izdatki za blago in storitve","4200 4200 0 0,0 0,0",""
"2008","Zunanje kulturna politika","340000 340000 339350 99,8 99,8",""
"402","Izdatki za blago in storitve","170000 118000 117350 69,0 99,5",""
"412","Transferi neprofitnim organizacijam in ustanovam","170000 222000 222000 130,6 100,0",""
"7859","Pakt stabilnosti za JVE - tuja donacija","8475 8475 8475 100,0 100,0",""
"402","Izdatki za blago in storitve","8475 8475 8475 100,0 100,0",""
"7412","Strateški forum Bled - donacija","49997 45547 45489 91,0 99,9",""
"402","Izdatki za blago in storitve","49997 45547 45489 91,0 99,9",""
"03011802","Delovanje diplomatsko konzularnih predstavništev","45699137 47160921 43489232 95,2 92,2",""
"2499","Plače DKP","16803808 17729322 17399443 103,5 98,1",""
"400","Plače in drugi izdatki zaposlenim","15532291 16417057 16088866 103,6 98,0",""
"401","Prispevki delodajalcev za socialno varnost","1271517 1312264 1310577 103,1 99,9",""
"2541","Materialni stroški DKP","9100000 8631281 8208247 90,2 95,1",""
"402","Izdatki za blago in storitve","9100000 8631281 8208247 90,2 95,1",""
"7435","Investicije in investicijsko vzdrževanje državnih organov","529400 529400 529386 100,0 100,0",""
"420","Nakup in gradnja osnovnih sredstev","529400 529400 529386 100,0 100,0",""
"2542","Najemnine in druge pogodbene obveznosti DKP","16105179 16729272 16614638 103,2 99,3",""
"402","Izdatki za blago in storitve","16105179 16729272 16614638 103,2 99,3",""
"7458","Konzularna zaščita - meddržavni dogovor","10000 0 0 0,0 -",""
"402","Izdatki za blago in storitve","10000 0 0 0,0 -",""
"9566","Vplačane tiskovine","0 371568 0 - 0,0",""
"402","Izdatki za blago in storitve","0 371568 0 - 0,0",""
"420","Nakup in gradnja osnovnih sredstev","2996007 2996707 701877 23,4 23,4",""
"7395","Osnovna sredstva - sredstva odškodnine","154743 173371 35640 23,0 20,6",""
"420","Nakup in gradnja osnovnih sredstev","154743 173371 35640 23,0 20,6",""
"0302","Mednarodno sodelovanje in udeležba","7933000 7948000 7898873 99,6 99,4",""
"03021801","Članarine mednarodnim organizacijam","7933000 7948000 7898873 99,6 99,4",""
"1297","Članarine in kotizacije v tujini","7933000 7948000 7898873 99,6 99,4",""
"402","Izdatki za blago in storitve","7933000 7948000 7898873 99,6 99,4",""
"0303","Mednarodna pomoč","1742336 1825336 1817527 104,3 99,6",""
"03031801","Razvojna in humanitarna pomoč","1742336 1825336 1817527 104,3 99,6",""
"6362","Pomoč pri vključevanju v EU","680000 680000 680000 100,0 100,0",""
"412","Transferi neprofitnim organizacijam in ustanovam","680000 680000 680000 100,0 100,0",""
"8270","Razvojno sodelovanje in humanitarna pomoč","1062336 1145336 1137527 107,1 99,3",""
"402","Izdatki za blago in storitve","4073 116207 116207 - 100,0",""
"412","Transferi neprofitnim organizacijam in ustanovam","1058263 1029129 1021320 96,5 99,2",""
"08","NOTRANJE ZADEVE IN VARNOST","333000 333000 218796 65,7 65,7",""
"0804","Vzpostavitev južne meje","333000 333000 218796 65,7 65,7",""
"08041801","Vzpostavitev južne meje","333000 333000 218796 65,7 65,7",""
"9369","Sklad za meje 2008 - 07-13 - EU","249750 249750 164097 65,7 65,7",""
"420","Nakup in gradnja osnovnih sredstev","249750 249750 164097 65,7 65,7",""
"9370","Sklad za meje 2008 - 07-13 - slovenska udeležba","83250 83250 54699 65,7 65,7",""
"420","Nakup in gradnja osnovnih sredstev","83250 83250 54699 65,7 65,7",""
"19","MINISTRSTVO ZA OBRAMBO","552055386 562521298 549814172 99,6 97,7",""
"1911","Ministrstvo za obrambo","71712825 77488442 68478626 95,5 88,4",""
"05","ZNANOST IN TEHNOLOŠKI RAZVOJ","12913895 11286195 11174383 86,5 99,0",""
"0502","Znanstveno - raziskovalna dejavnost","2313194 2275594 2275515 98,4 100,0",""
"05021901","Znanstveno-raziskovalna dejavnost na obrambnem področju","2313194 2275594 2275515 98,4 100,0",""
"402","Izdatki za blago in storitve","15000 0 0 0,0 -",""
"410","Subvencije","529124 413411 413411 78,1 100,0",""
"413","Drugi tekoči domači transferi","1521233 1617946 1617908 106,4 100,0",""
"432","Investicijski transferi proračunskim uporabnikom","247837 244237 244197 98,5 100,0",""
"0504","Tehnološki razvoj","",""
"05041901","Tehnološki razvoj na obrambnem področju","10600701 9010601 8898869 84,0 98,8",""
"2030","Tehnološki razvoj","10600701 9010601 8898869 84,0 98,8",""
"402","Izdatki za blago in storitve","6000679 4866679 4814932 80,2 98,9",""
"410","Subvencije","4500022 4143922 4083936 90,8 98,6",""
"414","Tekoči transferi v tujino","100000 0 0 0,0 -",""
"07","OBRAMBA IN UKREPI OB IZREDNIH DOGODKIH","58798930 66202247 57304243 97,5 86,6",""
"0701","Splošne in skupne funkcije","",""
"07011901","Urejanje skupnih funkcij na področju obrambe","43157930 45250406 45049613 104,4 99,6",""
"3009","Plače","31270305 31164090 31116201 99,5 99,9",""
"400","Plače in drugi izdatki zaposlenim","26565202 26433071 26389887 99,3 99,8",""
"401","Prispevki delodajalcev za socialno varnost","4705103 4731019 4726314 100,5 99,9",""
"3333","Materialni stroški","6061073 5140134 5115590 84,4 99,5",""
"402","Izdatki za blago in storitve","6006775 5049150 5024666 83,7 99,5",""
"411","Transferi posameznikom in gospodinjstvom","4784 1784 1733 36,2 97,1",""
"412","Transferi neprofitnim organizacijam in ustanovam","49514 89200 89192 180,1 100,0",""
"5884","Obrambne zadeve","1358014 1241553 1239369 91,3 99,8",""
"402","Izdatki za blago in storitve","848709 831097 828914 97,7 99,7",""
"411","Transferi posameznikom in gospodinjstvom","509305 410456 410455 80,6 100,0",""
"5883","Sredstva za operativno delovanje","3918158 6982823 6956872 177,6 99,6",""
"402","Izdatki za blago in storitve","2073877 4570564 4546663 219,2 99,5",""
"420","Nakup in gradnja osnovnih sredstev","1835005 2402983 2400934 130,8 99,9",""
"432","Investicijski transferi proračunskim uporabnikom","9276 9276 9275 100,0 100,0",""
"116","COU Poljče","83459 69437 54387 65,2 78,3",""
"402","Izdatki za blago in storitve","80659 67277 52230 64,8 77,6",""
"420","Nakup in gradnja osnovnih sredstev","2800 2160 2156 77,0 99,8",""
"117","Počitniška dejavnost","172906 294435 251972 145,7 85,6",""
"402","Izdatki za blago in storitve","167064 206057 190919 114,3 92,7",""
"420","Nakup in gradnja osnovnih sredstev","5842 88378 61054 - 69,1",""
"118","Prehrambna lastna dejavnost","294015 357933 315222 107,2 88,1",""
"402","Izdatki za blago in storitve","284085 308430 272023 95,8 88,2",""
"420","Nakup in gradnja osnovnih sredstev","9930 49503 43199 435,0 87,3",""
"07011903","Mednarodno sodelovanje","6631971 6340865 6249753 94,2 98,6",""
"2147","Plače predstavnikov v tujini","1658654 1850869 1802554 108,7 97,4",""
"400","Plače in drugi izdatki zaposlenim","1658654 1850869 1802554 108,7 97,4",""
"402","Izdatki za blago in storitve","1476473 1593531 1581819 107,1 99,3",""
"402","Izdatki za blago in storitve","936742 862976 845903 90,3 98,0",""
"412","Transferi neprofitnim organizacijam in ustanovam","15450 15400 15400 99,7 100,0",""
